subject	relation	object	time_step	date
Don Pramudwinai	Make statement	Government (Thailand)	1440	2018-03-02
Ri Yong-ho	Consult	Rashid Meredov	2352	2018-04-09
Police (Taiwan)	Arrest, detain, or charge with legal action	Criminal (Taiwan)	168	2018-01-08
Adolfo Pérez Esquivel	Make statement	Party Member (Brazil)	5712	2018-08-27
United States	Express intent to cooperate	South Korea	4152	2018-06-23
Dmitry Peskov	Make statement	Russia	1032	2018-02-13
Protester (Palestinian Territory, Occupied)	Demonstrate or rally	Unspecified Actor	2112	2018-03-30
Police (Australia)	Accuse	Children (Australia)	408	2018-01-18
Member of Legislative (Govt) (India)	Express intent to change leadership	Bharatiya Janata	480	2018-01-21
European Parliament	Consult	Congress (United States)	4320	2018-06-30
Spain	Arrest, detain, or charge with legal action	Citizen (France)	2256	2018-04-05
Tony Abbott	Reduce relations	Malcolm Bligh Turnbull	5616	2018-08-23
Pakistan	Consult	Uzbekistan	1032	2018-02-13
Police (India)	Arrest, detain, or charge with legal action	Airline (India)	5040	2018-07-30
Dalia Grybauskaitė	Express intent to meet or negotiate	Andrej Kiska	3792	2018-06-08
Ministry (Brazil)	Make optimistic comment	Business (Brazil)	840	2018-02-05
Citizen (India)	Criticize or denounce	Arun Jaitley	120	2018-01-06
Government (United Kingdom)	Accuse	Russia	4488	2018-07-07
Russia	Engage in diplomatic cooperation	Iran	2208	2018-04-03
Police (India)	Impose administrative sanctions	Activist (India)	3600	2018-05-31
Turkey	Occupy territory	Iraq	3696	2018-06-04
Governor (Nigeria)	Accuse	Independent National Electoral Commission	3384	2018-05-22
Barnaby Joyce	Make statement	Bank (Australia)	2592	2018-04-19
Government (Mali)	Host a visit	Recep Tayyip Erdoğan	1464	2018-03-03
Military Personnel - Special (India)	Arrest, detain, or charge with legal action	Federal Bank	432	2018-01-19
Congress (India)	Consult	Member of Legislative (Govt) (India)	1944	2018-03-23
Citizen (Japan)	Demonstrate for policy change	Military (United States)	3696	2018-06-04
Activist (Thailand)	Defy norms, law	Government (Thailand)	936	2018-02-09
Secretariat (Brazil)	Make statement	Representatives (Brazil)	552	2018-01-24
Aladdin Boroujerdi	Make statement	United States	3072	2018-05-09
Shavkat Mirziyayev	Express intent to meet or negotiate	Xi Jinping	3792	2018-06-08
Other Authorities / Officials (India)	Express intent to meet or negotiate	Police (India)	600	2018-01-26
Lawyer/Attorney (South Africa)	Make statement	Jacob Gedleyihlekisa Zuma	4536	2018-07-09
Narendra Modi	Threaten	Bharatiya Janata	4944	2018-07-26
Costa Rica	Arrest, detain, or charge with legal action	Citizen (Costa Rica)	5520	2018-08-19
South Africa	Provide economic aid	Thailand	456	2018-01-20
Heydar Aliyev	Make statement	Amir Hatami	1224	2018-02-21
Juan Manuel Santos	Sign formal agreement	Revolutionary Armed Forces of Colombia	1200	2018-02-20
Business (India)	Accuse	Citizen (India)	4416	2018-07-04
Ecuador	Express intent to meet or negotiate	Presidential Candidate (Ecuador)	2352	2018-04-09
United States	Reduce relations	Russia	696	2018-01-30
Belgium	Host a visit	Andrej Plenkovic	1920	2018-03-22
Turkey	Make statement	People's Protection Units	960	2018-02-10
Prokopis Pavlopoulos	Make statement	Vietnam	4368	2018-07-02
UN Women	Coerce	Children (Sudan)	3192	2018-05-14
Rahul Gandhi	Criticize or denounce	Bharatiya Janata	4776	2018-07-19
Education Ministry (Malaysia)	Make statement	Ministry (Malaysia)	4680	2018-07-15
Criminal (India)	Use unconventional violence	Citizen (India)	4872	2018-07-23
Citizen (Japan)	Appeal for change in leadership	Shinzo Abe	1752	2018-03-15
Uhuru Muigai Kenyatta	Make statement	Kenya	4056	2018-06-19
Attacker (India)	fight with small arms and light weapons	Citizen (India)	2880	2018-05-01
Education Ministry (South Africa)	Consult	Professor (South Africa)	3456	2018-05-25
Russia	Make a visit	North Korea	3408	2018-05-23
Citizen (United Kingdom)	Make pessimistic comment	United Kingdom	2304	2018-04-07
Alexander Novak	Express intent to meet or negotiate	European Union	4608	2018-07-12
Energy Department/Ministry (India)	Express intent to cooperate	Khalid A. Al-Falih	3264	2018-05-17
Criminal (South Africa)	Physically assault	Citizen (South Africa)	2376	2018-04-10
United States	Demand	Algeria	4440	2018-07-05
Media Personnel (India)	Make statement	Military (India)	4896	2018-07-24
Sergey Kuzhugetovich Shoygu	Make a visit	Southeast Asia	528	2018-01-23
Treasury/Finance Ministry (Argentina)	Express intent to meet or negotiate	Argentina	4800	2018-07-20
Head of Government (Palestinian Territory, Occupied)	Threaten to reduce or stop aid	Palestinian Territory, Occupied	840	2018-02-05
Police (India)	Accuse	Citizen (India)	1632	2018-03-10
India	Make an appeal or request	Citizen (India)	4920	2018-07-25
Pavel Filip	Make statement	Alexandru Tanase	1680	2018-03-12
Foreign Affairs (Russia)	Accuse	Secret Agent (Australia)	2064	2018-03-28
Germany	Sign formal agreement	Spain	5256	2018-08-08
Citizen (India)	Criticize or denounce	Congress (India)	672	2018-01-29
Donald Trump	Host a visit	Malcolm Bligh Turnbull	1248	2018-02-22
India	Express intent to meet or negotiate	Bharatiya Janata	1872	2018-03-20
India	Make statement	Central Bureau of Investigation	1392	2018-02-28
Donald Trump	Appeal for diplomatic cooperation (such as policy support)	Russia	4296	2018-06-29
Gavin Williamson	Make statement	United Kingdom	624	2018-01-27
Tony Abbott	Criticize or denounce	Malcolm Bligh Turnbull	1248	2018-02-22
Iran	Criticize or denounce	France	24	2018-01-02
Lawyer/Attorney (Turkey)	Arrest, detain, or charge with legal action	Military (Turkey)	3120	2018-05-11
Army Personnel (India)	Consult	Military Personnel (India)	3456	2018-05-25
City Mayor (Brazil)	Make statement	Government (Brazil)	5544	2018-08-20
Israel	Express intent to cooperate	Armed Band (Palestinian Territory, Occupied)	4656	2018-07-14
Russia	Cooperate militarily	China	3600	2018-05-31
Vladimir Putin	Consult	Recep Tayyip Erdoğan	2256	2018-04-05
Iran	Ease administrative sanctions	Citizen (Iran)	312	2018-01-14
Military Personnel - Special (India)	Use tactics of violent repression	Protester (India)	1800	2018-03-17
United States	Consult	Head of Government (France)	2232	2018-04-04
Industrial / Textiles / Mining Ministry (Australia)	Make statement	Australia	5712	2018-08-27
Attacker (India)	Use unconventional violence	Citizen (India)	2208	2018-04-03
Donald Trump	Consult	Scott Morrison	5664	2018-08-25
Lawyer/Attorney (Peru)	Accuse of crime, corruption	Alejandro Toledo	3480	2018-05-26
Government (Turkey)	Defend verbally	Syria	600	2018-01-26
Hrithik Roshan	Provide aid	India	5544	2018-08-20
Cabinet / Council of Ministers / Advisors (India)	Criticize or denounce	Bharatiya Janata	1824	2018-03-18
Canada	Reduce or break diplomatic relations	Foreign Affairs (Russia)	2064	2018-03-28
Alvaro Uribe Velez	Accuse	Juan Manuel Santos	4920	2018-07-25
Marcelo Bezerra Crivella	Consult	Religion (Brazil)	4632	2018-07-13
Foreign Affairs (Croatia)	Express intent to meet or negotiate	Citizen (Croatia)	5256	2018-08-08
Citizen (India)	Physically assault	Activist (India)	1560	2018-03-07
European Bank for Reconstruction and Development	Provide economic aid	Macedonia	3240	2018-05-16
Azerbaijan	Sign formal agreement	Georgia	936	2018-02-09
Muhammadu Buhari	Consult	Bukola Saraki	4248	2018-06-27
Akhilesh Yadav	Praise or endorse	Party Member (India)	1752	2018-03-15
Monastery (China)	Demand	Religion (China)	5136	2018-08-03
Mahmoud Abbas	Make statement	United Nations	1200	2018-02-20
Cleric (Congo)	Meet at a 'third' location	Archbishop (Congo)	2064	2018-03-28
Other Authorities / Officials (Ukraine)	Expel or deport individuals	Mikhail Saakashvili	1152	2018-02-18
Russia	Use conventional military force	United Kingdom	600	2018-01-26
Citizen (India)	Give ultimatum	Other Authorities / Officials (India)	504	2018-01-22
Government (France)	Express intent to meet or negotiate	Legislature (France)	1344	2018-02-26
Ngo Xuan Lich	Make a visit	Shinzo Abe	2376	2018-04-10
Ministry (India)	Make statement	Other Authorities / Officials (India)	4680	2018-07-15
Foreign Affairs (Qatar)	Make statement	Government (United States)	4440	2018-07-05
Main Opposition (South Korea)	Demonstrate or rally	Moon Jae-in	2232	2018-04-04
Bharatiya Janata	Make statement	India	3360	2018-05-21
Congress (India)	Arrest, detain, or charge with legal action	Jayalalithaa	1008	2018-02-12
Xiao Jie	Make statement	Government (China)	3600	2018-05-31
Military (Syria)	fight with artillery and tanks	Terrorist (Jabhat al-Nusra)	5544	2018-08-20
Canada	Express intent to meet or negotiate	Peru	2352	2018-04-09
Citizen (Philippines)	Express accord	Associate Justice (Philippines)	5640	2018-08-24
Afonso Dhlakama	Engage in negotiation	Government (Mozambique)	3072	2018-05-09
Government (Argentina)	Demonstrate military or police power	Argentina	2112	2018-03-30
Criminal (India)	Threaten	Salman Khan	3864	2018-06-11
Abiy Ahmed	Engage in negotiation	Eritrea	4224	2018-06-26
Police (India)	fight with small arms and light weapons	Citizen (India)	3816	2018-06-09
Brazil	Express intent to engage in diplomatic cooperation (such as policy support)	Organization of American States	3360	2018-05-21
Ministry of Defense	Make statement	Military (United States)	672	2018-01-29
Citizen (South Africa)	Criticize or denounce	Criminal (South Africa)	4704	2018-07-16
Lawyer/Attorney (Germany)	Accuse	Criminal (Germany)	360	2018-01-16
Police (India)	Make statement	Education (India)	3288	2018-05-18
Israel	Employ aerial weapons	Syria	2472	2018-04-14
Hubertus Heil	Make statement	Business (Germany)	4752	2018-07-18
Anna Hazare	Conduct hunger strike	Unspecified Actor	1944	2018-03-23
Police (Australia)	Accuse	Toyota	240	2018-01-11
United States	Consult	Sergey Yevgenyevich Naryshkin	744	2018-02-01
Arvind Kejriwal	Accuse	Akali Dal	1776	2018-03-16
Takeshi Onaga	Demonstrate military or police power	Japan	5400	2018-08-14
Media Personnel (Brazil)	Express intent to meet or negotiate	Brazil	4512	2018-07-08
Reporters Without Borders	Criticize or denounce	Citizen (Rwanda)	4608	2018-07-12
Military (Syria)	Use conventional military force	Militant (Syria)	216	2018-01-10
Military (Vietnam)	Provide humanitarian aid	Citizen (Vietnam)	5376	2018-08-13
Chongwadai	Praise or endorse	Kim Jong-Un	2088	2018-03-29
Ministry (France)	Sign formal agreement	Mohammed bin Salman	4512	2018-07-08
Military (Lebanon)	Use conventional military force	Syria	360	2018-01-16
Taiwan	Provide aid	Belize	1392	2018-02-28
Ukraine	Consult	European Union	3624	2018-06-01
Mevlut Cavusoglu	Make statement	Military (Turkey)	4032	2018-06-18
Aleksandar Vučić	Make statement	UN Security Council	5160	2018-08-04
China	Demand	North Korea	3384	2018-05-22
Foreign Affairs (Philippines)	Make statement	Philippines	2160	2018-04-01
Iraqi Kurds	Consult	Legislature (Iraq)	1440	2018-03-02
Malala Yousafzai	Make a visit	Brazil	4584	2018-07-11
Citizen (Cameroon)	Accuse	Separatist (Cameroon)	3336	2018-05-20
Arun K. Singh	Make statement	Government (India)	5016	2018-07-29
Bruno Le Maire	Make statement	France	3792	2018-06-08
Mike Pompeo	Accuse	China	744	2018-02-01
Head of Government (United States)	Make statement	North Korea	3600	2018-05-31
Citizen (India)	Deny responsibility	Media (India)	2640	2018-04-21
Ministry (Japan)	Make statement	Government (Japan)	3120	2018-05-11
Robert Mueller	Investigate	Russia	2544	2018-04-17
Extremist (Iraq)	Use conventional military force	Combatant (Iraq)	2448	2018-04-13
Turkey	Arrest, detain, or charge with legal action	Religion (United States)	5352	2018-08-12
Verkhovna Rada	Appeal for diplomatic cooperation (such as policy support)	Albania	864	2018-02-06
Tejashwi Prasad Yadav	Accuse	Nitish Kumar	1272	2018-02-23
Citizen (India)	Make optimistic comment	Member of the Judiciary (India)	2520	2018-04-16
Maithripala Sirisena	Make a visit	Iran	3144	2018-05-12
John R. Bolton	Make a visit	Israel	5592	2018-08-22
Wei Fenghe	Express intent to meet or negotiate	Rajnath Singh	3816	2018-06-09
Thongloun Sisoulit	Consult	Nguyen Xuan Phuc	2232	2018-04-04
Iran	Host a visit	Ri Yong-ho	5280	2018-08-09
Sweden	Sign formal agreement	United States	3072	2018-05-09
United Nations	Make statement	Gebran Bassil	4296	2018-06-29
Police (Philippines)	Use conventional military force	Philippines	336	2018-01-15
Samajwadi Janata Party	Make a visit	Bharatiya Janata	3480	2018-05-26
Russia	Demand change in institutions, regime	Ukraine	720	2018-01-31
Party Member (United States)	Consult	Head of Government (Qatar)	2424	2018-04-12
Taro Kono	Make a visit	Hong Kong	1944	2018-03-23
Jeremy Corbyn	Make an appeal or request	United Kingdom	2472	2018-04-14
Women (Russia)	fight with small arms and light weapons	Alexei Navalny	936	2018-02-09
European Union	Criticize or denounce	BBC	3072	2018-05-09
Defense / Security Ministry (Saudi Arabia)	Consult	Mohammed bin Salman	3984	2018-06-16
Health Ministry (India)	Express intent to meet or negotiate	Other Authorities / Officials (India)	0	2018-01-01
Ri Yong-ho	Express intent to meet or negotiate	Hassan Rouhani	5232	2018-08-07
Ravi Shankar Prasad	Make an appeal or request	Citizen (India)	4224	2018-06-26
Michel Camdessus	Make an appeal or request	Citizen (Cote d'Ivoire)	3552	2018-05-29
Kim Jong-Un	Meet at a 'third' location	Shinzo Abe	3168	2018-05-13
Ministry (Afghanistan)	Accuse	Afghanistan	480	2018-01-21
Abdel Fattah Al-Sisi	Consult	Mohammed bin Salman	1512	2018-03-05
Russia	Praise or endorse	Government (Afghanistan)	4032	2018-06-18
Serzh Sargsyan	Express intent to meet or negotiate	Party Member (Armenia)	2736	2018-04-25
Lawmaker (India)	Consult	Treasury/Finance Ministry (India)	4896	2018-07-24
China	Express intent to engage in diplomatic cooperation (such as policy support)	Russia	3864	2018-06-11
Media Personnel (Nigeria)	Make statement	Police (Nigeria)	4920	2018-07-25
International Monetary Fund	Engage in negotiation	Government (Argentina)	3384	2018-05-22
Mirek Topolánek	Praise or endorse	Jiří Drahoš	432	2018-01-19
United States	Engage in diplomatic cooperation	Philippines	1608	2018-03-09
Latvia	Reduce relations	Citizen (Latvia)	2064	2018-03-28
Spain	Consult	Kuwait	4272	2018-06-28
Donald Trump	Engage in symbolic act	Vietnam	1056	2018-02-14
Turkey	Consult	Vladimir Putin	2232	2018-04-04
United States	Threaten with sanctions, boycott, embargo	Government (Venezuela)	3360	2018-05-21
Muhammad V of Kelantan	Make a visit	Indonesia	5616	2018-08-23
Other Authorities / Officials (Spain)	Make statement	Immigrants (Spain)	3744	2018-06-06
Arun Jaitley	Accuse	Government (India)	984	2018-02-11
Bulgaria	Express intent to engage in diplomatic cooperation (such as policy support)	European Union	264	2018-01-12
Governor (Japan)	Accuse	Government (Japan)	4968	2018-07-27
Peter Dutton	Make an appeal or request	Bill Shorten	4776	2018-07-19
Employee (Iraq)	Conduct strike or boycott	Healthcare Facility (Iraq)	1872	2018-03-20
Chantal Biya	Provide aid	Citizen (Cameroon)	5736	2018-08-28
Donald Trump Jr.	Make a visit	India	1272	2018-02-23
Abiy Ahmed	Make a visit	Peru	2400	2018-04-11
Donald Trump	Criticize or denounce	China	4296	2018-06-29
Akhilesh Yadav	Make statement	Narendra Modi	144	2018-01-07
Ministry (India)	Make an appeal or request	Citizen (India)	4296	2018-06-29
Militant (Russia)	Use unconventional violence	Ukraine	3120	2018-05-11
Military (Turkey)	Use conventional military force	Combatant (Syria)	768	2018-02-02
Bhinderjit Singh	Make statement	Government (India)	1752	2018-03-15
People Associated with the Opposition (India)	Demonstrate or rally	Unspecified Actor	912	2018-02-08
Chile	Arrest, detain, or charge with legal action	Citizen (Colombia)	3552	2018-05-29
Police (Philippines)	Use conventional military force	Citizen (Philippines)	960	2018-02-10
Labor and Employment Ministry (South Korea)	Make statement	South Korea	5136	2018-08-03
Main Opposition (South Korea)	Discuss by telephone	Yonhap News Agency	1224	2018-02-21
Lee Hsien Loong	Consult	Donald Trump	3864	2018-06-11
Police (Gambia)	Arrest, detain, or charge with legal action	Naval (Gambia)	2256	2018-04-05
Germany	Consult	Japan	3936	2018-06-14
Taliban	Make statement	Russia	5712	2018-08-27
Congress (India)	Make statement	Student (India)	2112	2018-03-30
Citizen (Indonesia)	Conduct suicide, car, or other non-military bombing	Police (Indonesia)	3192	2018-05-14
Lim Guan Eng	Make statement	Ministry (Malaysia)	3720	2018-06-05
Men (Honduras)	Acknowledge or claim responsibility	United States	3624	2018-06-01
Legislature (Macedonia)	Make a visit	Bulgaria	1896	2018-03-21
Media Personnel (India)	Consult	Media (India)	3504	2018-05-27
Fernando Haddad	Criticize or denounce	James Michel	4296	2018-06-29
Cyril Ramaphosa	Make optimistic comment	South Africa	1176	2018-02-19
Other Authorities / Officials (Germany)	Expel or deport individuals	Refugee (Germany)	2904	2018-05-02
Bakir Izetbegović	Consult	Mladen Ivanic	1536	2018-03-06
Other Authorities / Officials (Russia)	Arrest, detain, or charge with legal action	Citizen (Russia)	4728	2018-07-17
European Union	Threaten	Armed Rebel (United Kingdom)	3936	2018-06-14
Militant (Afghanistan)	Use unconventional violence	Citizen (Afghanistan)	1104	2018-02-16
Staffan de Mistura	Consult	Government Delegation (Syria)	576	2018-01-25
Children (Poland)	Use unconventional violence	Police (Poland)	2136	2018-03-31
Police (Philippines)	Arrest, detain, or charge with legal action	Men (Philippines)	3192	2018-05-14
Citizen (Greece)	Express intent to meet or negotiate	Representatives (Greece)	2592	2018-04-19
Mike Pompeo	Make a visit	Moon Jae-in	3912	2018-06-13
Boiko Borisov	Discuss by telephone	Alexis Tsipras	2064	2018-03-28
Zimbabwe Broadcasting Corporation	Host a visit	Emmerson Mnangagwa	24	2018-01-02
Police (India)	Return, release person(s)	Lawmaker (India)	2208	2018-04-03
Sergey Viktorovich Lavrov	Engage in negotiation	Foreign Affairs (Tajikistan)	2304	2018-04-07
Nelson Chamisa	Make statement	People Associated with the Opposition (Zimbabwe)	4608	2018-07-12
Company - Owner or Operator (Turkey)	Make pessimistic comment	Recep Tayyip Erdoğan	4560	2018-07-10
China	Praise or endorse	Malcolm Bligh Turnbull	5256	2018-08-08
Congress (India)	Use conventional military force	Bharatiya Janata	3768	2018-06-07
United Kingdom	Host a visit	Gulf Cooperation Council	1200	2018-02-20
Foreign Affairs (Germany)	Make statement	Business (Germany)	3432	2018-05-24
Kyrgyzstan	Host a visit	Recep Tayyip Erdoğan	4200	2018-06-25
U.S. Army Europe	Express intent to meet or negotiate	Latvia	3744	2018-06-06
Police (India)	Make statement	Member of the Judiciary (India)	2616	2018-04-20
Kazakhstan	Discuss by telephone	Nursultan Nazarbayev	2544	2018-04-17
Ukraine	Praise or endorse	Belarus	4296	2018-06-29
Benjamin Netanyahu	Sign formal agreement	Mateusz Morawiecki	4248	2018-06-27
Member of the Judiciary (India)	Return, release person(s)	Citizen (India)	2856	2018-04-30
Moon Jae-in	Engage in negotiation	Kim Jong-Un	3504	2018-05-27
Police (India)	Mobilize or increase police power	India	2472	2018-04-14
Head of Government (India)	Reduce relations	Bharatiya Janata	1512	2018-03-05
Oversight Court (Russia)	Arrest, detain, or charge with legal action	Men (Russia)	5616	2018-08-23
Citizen (Russia)	Engage in symbolic act	Russia	1872	2018-03-20
Yemeni Armed Forces	Praise or endorse	Militia (Yemen)	4464	2018-07-06
Shinzo Abe	Make statement	Japan	2904	2018-05-02
Citizen (Lebanon)	Use unconventional violence	Hezbollah	1824	2018-03-18
Malaysia	Make statement	Mohammad Najib Abdul Razak	3120	2018-05-11
Domestic Affairs (Afghanistan)	Praise or endorse	Police (Afghanistan)	384	2018-01-17
United States	Accuse	Iran	2448	2018-04-13
Uddhav Thackeray	Express intent to engage in diplomatic cooperation (such as policy support)	Congress (India)	3624	2018-06-01
Atal Bihari Vajpayee	Make a visit	Pakistan	5712	2018-08-27
Catholic Bishop (Canada)	Make statement	Pope Francis	2904	2018-05-02
Ajit Doval	Make a visit	Military (India)	2928	2018-05-03
United Kingdom	Engage in diplomatic cooperation	Other Authorities / Officials (Greece)	5280	2018-08-09
Media Personnel (India)	Accuse	Bharatiya Janata	5160	2018-08-04
Hassan Rouhani	Make statement	Iran	1224	2018-02-21
Bharatiya Janata	Make an appeal or request	Employee (India)	3816	2018-06-09
Ekaterina Zaharieva	Express intent to meet or negotiate	Sigmar Gabriel	336	2018-01-15
Farm Worker (Nigeria)	Make statement	Government (Nigeria)	1032	2018-02-13
Government Official (Iran)	Threaten	North Korea	3888	2018-06-12
United States	Express intent to cooperate	South Korea	4632	2018-07-13
Other Authorities / Officials (China)	Consult	Wang Qishan	2544	2018-04-17
Michel Barnier	Express intent to meet or negotiate	David Davis	840	2018-02-05
Labor Union (France)	Appeal for diplomatic cooperation (such as policy support)	Civil Servant (France)	3384	2018-05-22
Emmanuel Macron	Engage in material cooperation	Head of Government (France)	840	2018-02-05
Muhammadu Buhari	Make pessimistic comment	Assemblies (Nigeria)	4080	2018-06-20
Popular Front for the Liberation of Palestine	Accuse	Armed Rebel (Syria)	3504	2018-05-27
Thomas Shannon	Consult	Sergei Ryabkov	168	2018-01-08
Estonia	Engage in diplomatic cooperation	Sweden	1176	2018-02-19
Armed Forces of the Republic of the Congo	Use conventional military force	Militia (Congo)	3120	2018-05-11
Taliban	Use conventional military force	Czech Republic	5208	2018-08-06
Stéphane Dujarric	Make statement	India	1248	2018-02-22
Information Ministry (Saudi Arabia)	Reject	Agence France-Presse	624	2018-01-27
Citizen (Georgia)	Demonstrate or rally	Legislature (Georgia)	3600	2018-05-31
Head of Government (India)	Make an appeal or request	Government (India)	2064	2018-03-28
Court Judge (Philippines)	Express intent to meet or negotiate	Attorney General (Philippines)	2592	2018-04-19
Russia	Express intent to meet or negotiate	South Africa	4920	2018-07-25
Congress (India)	Make an appeal or request	Cabinet / Council of Ministers / Advisors (India)	5592	2018-08-22
European Union	Express intent to engage in diplomatic cooperation (such as policy support)	Azerbaijan	3048	2018-05-08
Customs Official (India)	Make an appeal or request	Citizen (India)	5136	2018-08-03
Citizen (Romania)	Demonstrate or rally	Unspecified Actor	672	2018-01-29
Edgars Rinkevics	Praise or endorse	United Kingdom	2520	2018-04-16
India	Host a visit	Foreign Affairs (Moldova)	5400	2018-08-14
Citizen (Canada)	Criticize or denounce	Lawyer/Attorney (Canada)	4128	2018-06-22
Japan	Consult	United States	2880	2018-05-01
Congress (India)	Defy norms, law	Election Commission (India)	2424	2018-04-12
Luis Videgaray Caso	Consult	Chrystia Freeland	4944	2018-07-26
Tran Dai Quang	Praise or endorse	Netherlands	3768	2018-06-07
Ministry (Lithuania)	Express intent to meet or negotiate	Representatives (Lithuania)	4224	2018-06-26
Legislature (Malawi)	Praise or endorse	Government (Malawi)	336	2018-01-15
Government (Canada)	Demonstrate military or police power	Canada	4872	2018-07-23
Nguyen Thien Nhan	Make a visit	Revolutionary Party (Laos)	576	2018-01-25
Afghanistan	Use conventional military force	Militant (Taliban)	1848	2018-03-19
Maria Zakharova	Make statement	Unidentified State Actor	4968	2018-07-27
People Associated with the Opposition (Pakistan)	Demonstrate or rally	Pakistan	5496	2018-08-18
Sergey Yevgenyevich Naryshkin	Make statement	United States	2232	2018-04-04
Lawyer/Attorney (South Africa)	Make statement	Jacob Gedleyihlekisa Zuma	1776	2018-03-16
Taliban	Use conventional military force	Military Personnel - Special (Afghanistan)	744	2018-02-01
Police (Hong Kong)	Confiscate property	Hong Kong	3312	2018-05-19
Lawmaker (India)	Accuse	Citizen (India)	816	2018-02-04
Daniel Ortega	Make optimistic comment	Bishop (Nicaragua)	4992	2018-07-28
Narendra Modi	Express intent to cooperate	Women (India)	5688	2018-08-26
Government Official (United States)	Consult	Sirojiddin Aslov	840	2018-02-05
Georgia	Accuse of war crimes	Russia	3408	2018-05-23
Turkey	Express intent to meet or negotiate	Russia	1344	2018-02-26
Police (United Kingdom)	Use conventional military force	United Kingdom	5592	2018-08-22
Alexander Lukashenko	Consult	Wei Fenghe	2328	2018-04-08
Bahrain	Accuse	Qatar	264	2018-01-12
Macky Sall	Make an appeal or request	Government (Senegal)	408	2018-01-18
Taliban	Conduct suicide, car, or other non-military bombing	Afghanistan	2496	2018-04-15
Legislature (Japan)	Consult	Shinzo Abe	504	2018-01-22
Amarinder Singh	Make statement	Farm Worker (India)	2280	2018-04-06
Bollywood	Investigate	Media (India)	2712	2018-04-24
Green Party (United Kingdom)	Make statement	Scottish National Party	2832	2018-04-29
Vladimir Putin	Express intent to meet or negotiate	Emmanuel Macron	3288	2018-05-18
Africa	Engage in diplomatic cooperation	United States	1176	2018-02-19
India	Host a visit	Frank-Walter Steinmeier	1896	2018-03-21
Civic Group (Algeria)	Make an appeal or request	Abdelaziz Bouteflika	4104	2018-06-21
India	Arrest, detain, or charge with legal action	Children (Bangladesh)	3144	2018-05-12
China	Provide economic aid	Venezuela	4440	2018-07-05
Children (India)	Use unconventional violence	Military Personnel (India)	5472	2018-08-17
Philippine National Police	Express intent to cooperate	Citizen (Philippines)	1440	2018-03-02
Police (Namibia)	Make statement	Criminal (Namibia)	1368	2018-02-27
Henri Falcón	Make statement	Francisco Rodriguez	1392	2018-02-28
Employee (Indonesia)	Defy norms, law	Aceh	672	2018-01-29
Anatoly Antonov	Reject	Donald Trump	4800	2018-07-20
Government (United States)	Halt negotiations	Brazil	2904	2018-05-02
Kolinda Grabar-Kitarović	Consult	Borut Pahor	4896	2018-07-24
Japan	Make a visit	Russia	5472	2018-08-17
Domestic Affairs (Syria)	Make statement	Turkey	1872	2018-03-20
Donald Trump	Make statement	Justin Trudeau	3840	2018-06-10
Oluṣẹgun Ọbasanjọ	Criticize or denounce	Women (Nigeria)	4584	2018-07-11
Liberal National Party	Make an appeal or request	Government (Australia)	1152	2018-02-18
Pakistan	Consult	Afghanistan	1824	2018-03-18
Police (Nigeria)	Arrest, detain, or charge with legal action	Women (Nigeria)	3552	2018-05-29
Representatives (India)	Make statement	Chamber of Commerce & Industry	5040	2018-07-30
Police (India)	Arrest, detain, or charge with legal action	Kidnapper (India)	1968	2018-03-24
Citizen (India)	Demonstrate or rally	Business (India)	3528	2018-05-28
United States	Engage in diplomatic cooperation	Algeria	1968	2018-03-24
UN Security Council	Make pessimistic comment	Citizen (Yemen)	5304	2018-08-10
Iraqi Kurds	Conduct strike or boycott	Nuri al-Maliki	96	2018-01-05
Benjamin Netanyahu	Make statement	Israeli Defense Forces	3576	2018-05-30
Myanmar	Consult	Laos	2232	2018-04-04
Nguyen Xuan Phuc	Praise or endorse	Company - Owner or Operator (Vietnam)	5424	2018-08-15
Donald Trump	Criticize or denounce	Justin Trudeau	4272	2018-06-28
Criminal (India)	Physically assault	Citizen (India)	1272	2018-02-23
Foreign Affairs (Japan)	Make a visit	China	600	2018-01-26
United Nations	Make a visit	Niger	3384	2018-05-22
Mob (India)	Use unconventional violence	Citizen (India)	2616	2018-04-20
Imran Khan	Consult	Pakistan	4608	2018-07-12
Police (Pakistan)	Make statement	United States	2328	2018-04-08
Farm Worker (Italy)	Cooperate economically	Business (Italy)	5064	2018-07-31
China	Engage in negotiation	Donald Trump	3240	2018-05-16
Egypt	Expel or deport individuals	Citizen (Egypt)	5568	2018-08-21
Sergey Viktorovich Lavrov	Engage in negotiation	Foreign Affairs (Vietnam)	1944	2018-03-23
Tran Dai Quang	Make a visit	Japan	3504	2018-05-27
Order and Justice	Make statement	Party Member (Lithuania)	2352	2018-04-09
Ethiopia	Host a visit	Sergey Viktorovich Lavrov	1584	2018-03-08
Mahmoud Abbas	Make statement	Jew (Palestinian Territory, Occupied)	2928	2018-05-03
India	Consult	Russia	3720	2018-06-05
Energy Department/Ministry (Azerbaijan)	Sign formal agreement	Industrial / Textiles / Mining Ministry (Czech Republic)	888	2018-02-07
Citizen (Bolivia)	Reject	Evo Morales	1848	2018-03-19
Citizen (Australia)	Bring lawsuit against	Newspaper (Australia)	2904	2018-05-02
Lawmaker (India)	Make statement	Bharatiya Janata	4464	2018-07-06
India	Engage in diplomatic cooperation	Senegal	2712	2018-04-24
